No.,事業所名,主たる対象,所在地,生活介護,自立訓練,就労移行支援,就労継続Ａ型,就労継続Ｂ型,日中一時支援,地域活動支援センターⅢ型,ページ,事業所種別,法人名,所在地,電話,FAX,担当者名,URL,主たる対象,定員（生活介護）,定員（自立支援）,登録者数,平均年齢,男女比,送迎,平均工賃（生活介護）,平均工賃（自立訓練）,活動時間,スポーツ・文化施設,経度,緯度
1,プロップ,知,亀井野,○,○,,,,,,9,生活介護・自立訓練（生活訓練）,藤沢市亀井野1-30-9,,0466-80-5040,0466-86-7404,唐澤　樹,http://www.k5.dion.ne.jp/～sou2004/prop.html,知的障がい者,"生活介護　34
自立訓練　6",自立訓練　6,36,34,男性25名　女性11名　,なし,"生活介護5,000～6,000
自立訓練5,000～6,000","自立訓練5,000～6,000
自立訓練5,000～6,000",月～金曜日　午前9時～午後4時,"・企業からの受注作業
（チラシの折込、ポスティング、洗濯物畳み、エコキャップの選別、
商品封入　等）
・自主製品作製（アイロンビーズマグネット、手芸小物等）",35.386208,139.473358
2,すてっぷ川名,身体･知・精・高,川名,○,,,,,,,9,生活介護,藤沢市川名672　リステージ湘南川名1階,,0466-21-8996,0466－53－7352,飯田　啓介,なし,知的障がい者・身体障がい者・精神障がい者・高次脳機能障害,20,,20,31,男性10名　女性10名,あり（場所により相談）,3866,,月～金曜日　午前9時30分～午後15時30分（祝日も通常開所） ,"・受注作業（自動車部品の簡易組み作業、チラシの折り・組み込み）
・川名近辺のポスティング（運動を兼ねてなので少量）
・自主製品制作（アイロンビーズ・ポストカード、ポチ袋など）
・レクリエーション（買い物、外出、外食、調理実習、散策など）
・バス旅行、遠出外出などの1日外出",35.33194,139.498611
3,すてっぷ渡内,身体･知,渡内,○,,,,,,,10,生活介護,藤沢市渡内1－13－13　サニーテラスイシイＦ,,0466－24－0129,0466－21-8135,鷹松　真弓,なし,知的障がい者・身体障がい者,20,,11,38,男性8名　女性3名,自宅～事業所,3400,,午前9時30分～午後3時30分,"・受注作業（自動車部品の組立・チラシ折り・ポスティング等）
・リハビリ、体力作り、軽作業、音楽、絵画等
・軽作業、体力作り、音楽、絵画",35.345531,139.504379
4,第１木曜クラブ,知,辻堂西海岸,○,,,,,,,10,生活介護,藤沢市辻堂西海岸2-1-15,,0466-34-7886,0466-34-7886,柳　文,http://mokuyouclub.com,知的障がい者,20,,20,42.5,男性13名　女性7名,あり（相談）,3850,,月～金曜日　　午前9時～午後3時,"・軽作業（DVDケースシールはがし、古紙回収袋日付書き、古紙回収袋折り、広報の折り込みなど）
・県立海浜公園清掃、街路清掃、ポスティング
・創作的活動、調理実習、歌の会、ダンス、体操、映画会(感染予防のため外食など人混みに出かける活動は取りやめています)",35.324863,139.446533
5,ふじさわ爽風舎,知,遠藤,○,,,,,,,11,生活介護,藤沢市遠藤3550-2,,0466-49-3112,0466-48-2244,埜崎　裕司,なし,知的障がい者,40,,56,37,男性42名　女性14名,バス送迎・スポット送迎あり,1500,,　月～金曜日　　　　午前9時～午後4時（金曜日　月2回 午後2時まで）,"・餃子の製造、販売
・企業からの受注作業
　（アルミはがし・お箸の袋入れ等）
・余暇活動",35.397221,139.440002
6,湘南ゆうき村デイセンター,身体･知,西俣野,○,,,,,,,11,生活介護,藤沢市西俣野410,,0466－82－6400,0466－82－6780,細川　一幸,http://www.f-ikusei.or.jp,身体障がい者・知的障がい者,20,,35,54,男性25 名　女性10名,有り（個別送迎）,0,,月～金曜日　午前9時30分～午後4時（祝祭日も通常営業）,"・入浴の提供
・健康チェック・相談
・創作・レクリエーション活動の提供
・昼食の提供",35.380096,139.486404
7,クラブハウス・インユー,精,善行,○,,,,,,,12,生活介護,藤沢市善行７－６－２,,0466－65ー4774,0466-65-4774,矢野　彰教,http://www.clubhouse-inyou.jp,精神障がい者,20,,44,51,男性23名　女性21名　,有り（毎日）,0,,月～日曜日・祝日　　,"・毎日の昼食作り（220円で提供）　・　安心して過ごせる居場所 ・喫茶店（１時半～2時半）　　　・メンバーとスタッフのパートナーシップ
・フレンズミーティング（ピア活動、当事者活動）　・ 囲碁将棋教室　・外食会
・看護師との健康チェックとフットケア　・絵画　・習字　　・コーラス　　　
・カラオケ　・ドライブ　・散歩　　・ショッピング　・フリースペース                           　　・ヨガ　・生け花　・文章教室　　・折り紙教室",35.363823,139.473755
8,湘南希望の郷,身体,獺郷,○,,,,,,,12,生活介護・（施設入所支援）,藤沢市獺郷1003,,0466-48-4500,0466-48-7747,二見　弘樹,http://www.lfa.jp,身体障がい者,60,,52,58,男性34名　女性18名,なし,0,,月～金曜日　午前10時～午後4時（生活介護）,日中活動の専門スタッフがプログラムを担当し、健康の維持増進を図るトランポリン、メロディーやリズムを楽しむ音楽グループ、知的好奇心を高める点字・読み書き、趣味活動の陶芸・美術・卓上競技など多様なプログラムを提供しています。,35.385864,139.407501
9,湘南希望の郷ケアセンター,身体,獺郷,○,,,,,,,13,生活介護,藤沢市獺郷1008－3,,0466－48－4586,0466－48－2202,辻本　亜希,http://www.lfa.jp,身体障がい（医療ケア含む）,20,,21,39,男性12 名　女性9名,"自宅～事業所
リフト車にて送迎あり(要相談）",0,,月～金曜日　午前9時50分～午後4時,"・個別活動（掃除・自立課題他）
・余暇活動 （音楽・創作活動・体操・散歩・園芸・ボッチャ・ドライブ他）
・機能訓練 ・入浴（要相談）  
・行事 （季節行事・外出・村まつり他）",35.385864,139.407501
10,湘南マロニエ,身体,石川,○,,,,,,,13,生活介護,藤沢市石川636－25,,0466－87－2800,0466－88－2800,金子　敦也,http://shonanmaronie.com/,身体障がい者,40,,58,36,男性30名　女性28名,自宅～事業所,0,,月～金曜日　　午前9時30分～午後3時30分,"　個々の希望に添って個別課題・創作的活動・リハビリテーションなど、仲間と共に楽しみながら自立に向けた支援をしています。
　重度障がいの方が多いので、利用者さんの健康状態に配慮しながら簡単な作業をしています。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　",35.3708,139.451904
11,湘南だいち　いとぐるま,知,亀井野,○,,,,,,,14,生活介護,藤沢市亀井野３１８７,,0466－90－5777,0466－84－3338,高橋　克之,http://www.f-ikusei.or.jp/,知的障がい者,50,,74,34,男性41名　女性33名　,"自宅～事業所
（市内対象）要相談",750,,月～金曜日　午前９時30分～午後3時00分,"・ベーカリー（クッキー・パンの製造、ショップ販売）
・はた織り
・アート（創作活動）
・軽作業",35.371788,139.483383
12,モンド湘南藤沢,身体・知・精,善行,○,,,,○,,,14,生活介護・就労継続支援B型,藤沢市善行３－１４－７,,0466-53-9142,0466-53-9143,八十島　清隆,なし,身体障がい者・知的障がい者・精神障がい者,"生活介護 20名/
就労継続支援B型 20名",,44,34.6,男性　24 名　女性　20 名,あり（応相談 3～5名/日）,"生活介護　3,000～4,000
就労継続支援B型　5,000～7,000
"," 就労継続支援B型　5,000～7,000",月～金曜日　午前9時～午後3時30分）,"・製菓・製パン作業（製造・袋詰め・ラベル貼り・販売）
・喫茶事業（接客・調理補助・清掃・皿洗い等）
・受託作業（レトルト商品梱包・検品・ラベル貼り）
・プリントクッキー",35.368202,139.468018
